run_id,strategy,stage,epoch,val_score,val_avg_score,val_worst_score,train_loss,train_auxiliary_loss,time_s
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s19_aux,1,1.7952,,,0.68741,,25.33
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s19_aux,2,1.81419,,,0.55455,,21.6
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s19_aux,3,1.82426,,,0.53063,,21.48
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s19_aux,4,1.82436,,,0.51909,,21.52
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,1,1.24724,,,0.6261,,5.29
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,2,1.2937,,,0.47174,,4.93
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,3,1.30657,,,0.44106,,4.9
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,4,1.30862,,,0.4247,,4.99
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,5,1.31275,,,0.41445,,4.87
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,6,1.31134,,,0.40254,,4.92
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,7,1.30885,,,0.39273,,4.86
s6_trajectory_encoder_s19_aux_v1,S6 + PhysioNet2019 aux,s0_aux,8,1.30159,,,0.37899,,4.87
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,aux_1_s19,1,1.76078,,,0.75171,,26.13
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,aux_1_s19,2,1.80592,,,0.58603,,24.33
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,aux_2_eicu,1,0.7462,,,0.31323,,127.54
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,aux_2_eicu,2,0.75168,,,0.26558,,120.8
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,s0_aux,1,1.23646,,,1.0461,,5.88
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,s0_aux,2,1.26289,,,0.65912,,5.53
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,s0_aux,3,1.27481,,,0.63406,,5.5
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,s0_aux,4,1.28024,,,0.61277,,5.53
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,s0_aux,5,1.27832,,,0.58758,,5.44
s6_trajectory_encoder_loso_mimic_v1,LOSO: exclude MIMIC,s0_aux,6,1.28325,,,0.54489,,5.47
s6_trajectory_encoder_loso_eicu_v1,LOSO: exclude eICU,aux_1_s19,1,1.76078,,,0.75171,,26.69
s6_trajectory_encoder_loso_eicu_v1,LOSO: exclude eICU,aux_1_s19,2,1.80592,,,0.58603,,24.46
s6_trajectory_encoder_loso_eicu_v1,LOSO: exclude eICU,aux_2_mimic,1,0.71062,,,0.34396,,63.12
s6_trajectory_encoder_loso_eicu_v1,LOSO: exclude eICU,aux_2_mimic,2,0.71986,,,0.28423,,56.75
